Game_Hashkey,Year,Round,Team,Opponent,Ground,Team_Result,Disposals_diff,Kicks_diff,Marks_diff,Handballs_diff,HitOuts_diff,Tackles_diff,Rebounds_diff,Inside50_diff,Clearances_diff,Clangers_diff,Frees_diff,FreesAgainst_diff,ContestedPossessions_diff,UncontestedPossessions_diff,ContestedMarks_diff,MarksInside50_diff,OnePercenters_diff,Bounces_diff,GoalAssists_diff
2f55e862654e4344f7d5f2d3c90133da76d49e8668e42188c9c5206d444f5f3a,2020,R05,WB,NM,Docklands,1,63,11,6,52,-18,-5,5,4,3,-5,0,0,1,67,1,9,14,2,8
086f9868b192f9a14cf05bf7f73c733cdbf8bf150703fa853d2ed82a0607decb,2020,R05,BL,PA,Gabba,1,11,22,20,-11,13,-4,-5,13,-4,-1,3,-3,13,-1,9,8,-20,-2,2
fe973dab0eaa935a13ff96b7c45cb9cf4d57baed45e3b91f27ed5ecd3a23f652,2020,R05,AD,FR,Carrara,0,16,-28,-30,44,-13,-2,-4,-1,4,0,-4,4,7,11,-1,-9,3,-4,-5
f8c8711a88fef49bee74792d7e0efda76ed9c63ffdf7feb585c0738e443b144e,2020,R05,GW,HW,Sydney Showground,1,82,62,62,20,-18,1,17,-12,-6,-10,14,-14,21,67,8,0,9,1,2
b1e71c9ef6c7d52ac0d887b067454b69ddbf366970946341f67ef4109ccf1b25,2020,R06,WC,AD,Gabba,1,-40,-1,-12,-39,9,2,-19,25,11,-4,-1,1,6,-40,3,4,11,1,3
7587149539ba8277ccfde1bfe1e4cd72766a2682e51bd30ba0def79febea858d,2020,R06,ME,GC,Sydney Showground,1,-2,4,-8,-6,10,-17,-8,13,10,1,-2,2,24,-30,4,8,-6,0,3
ca738f7c1410dccfff0d4d0d47ac5ed4570f90843df481a3b85866ef9561161d,2020,R06,PA,GW,Carrara,1,-22,17,-8,-39,15,1,-16,18,16,-5,5,-5,2,-29,-3,-5,7,3,0
9f94a228be43fe2c12ee3adb5564ae7899d466927d5a2ead10ac5dd58e0bded2,2020,R06,RI,SW,Gabba,1,-5,6,15,-11,28,-9,-16,18,4,-1,-2,2,-2,2,1,3,0,13,1
24b68db49eef0c06ef746ffba1e440c380a8b0ad92d5d9e5afcf8502c5acfde6,2020,R06,CA,WB,Carrara,1,-11,33,18,-44,10,-11,20,-12,2,19,-8,8,17,-33,2,3,19,-5,6
5da5684ad7b603e8fc8e94b48ce55b5db9de0d44c04ce471d35c3c2e2ac92f85,2020,R07,GW,BL,Sydney Showground,0,9,-29,-43,38,-3,5,19,-22,1,5,4,-4,15,-10,-4,-7,20,6,-1
9ee2239cab29aa4a9291a707ef27291df00135bf1ca97845d99708669fc37853,2020,R07,SW,GC,S.C.G.,0,-8,-14,-14,6,-20,1,5,-9,-11,6,9,-9,9,-27,6,-2,14,2,0
1ab4909df3930acaf382112aea03aac5ace690f256fdc7dabf751b46806a3bbe,2020,R07,CA,PA,Gabba,0,-40,-20,-24,-20,7,-1,10,-9,3,4,-3,3,0,-44,-1,-4,-12,-2,0
b758eb5733a4acfc47e063aba2c6f26ee8130dcb6e7e279ed5630832ab0bd17e,2020,R07,HW,ME,Sydney Showground,0,-34,-16,4,-18,-12,-12,11,-22,-13,-1,-1,1,-25,-9,-8,-10,-3,-4,-5
abb10e6702195df45d594a7b440113d17fe38b554016ae44b3afa5d1a59005af,2020,R07,FR,WC,Perth Stadium,0,-47,-56,-43,9,-3,-2,10,-15,-5,10,0,0,-8,-41,-4,-1,-9,-3,0
196a03a068a2be06f1781dc26d1872d2ac70a020f057dfa86b63f97d1a41f990,2020,R08,GC,WB,Carrara,0,-23,11,9,-34,30,7,-11,9,5,1,0,0,2,-32,3,3,-15,1,2
16162242289afe54afb97e857a9f0db58951d4ef15bf4654507b142c1eee3524,2020,R08,GW,RI,Sydney Showground,1,47,32,15,15,-16,14,17,-14,6,-6,2,-2,17,16,3,2,13,-3,2
fa0b1c8eaf69e0093e844ed132db837f27b9620a0916d3bf4fb6e90e0a51c698,2020,R08,NM,CA,Gabba,0,0,-2,5,2,16,-4,13,-13,-9,-7,8,-8,-2,-5,0,0,-13,0,2
1ec0d602994fe3b94cc21016b57fcb799e451a5887b9351bf54b9539c4b68d24,2020,R08,PA,SK,Adelaide Oval,0,-27,-28,-4,1,-24,-1,1,-5,-10,4,-6,6,-11,-8,6,5,13,0,2
48a42db4b42dd16463cef364fe73ac69d3593a99059272fcc1be84ad89b525ca,2020,R08,AD,ES,Adelaide Oval,0,-5,-9,-11,4,2,-21,1,-2,-8,-12,-4,4,-7,12,1,0,11,-6,-2
42cf8d319ad5ad81f7c65bed6860c496a83c3fb9075997ffc73c1b5330c5e216,2020,R08,WC,CW,Perth Stadium,1,26,33,26,-7,-1,12,13,-2,8,4,0,0,-16,34,-2,6,15,0,7
26ebed1971b66d1d5eb1e17322a2ecd25a59f027b70704b2378effe5889b2430,2020,R08,FR,GE,Perth Stadium,0,-61,-34,-9,-27,6,1,15,-21,-11,-18,2,-2,-31,-43,-1,-7,-8,1,-3
15e006c8c0d6ba6f88e74db26af795d6cd7e3f975a4838de1a49e5d8cc8c691a,2020,R09,WB,RI,Carrara,0,-31,-43,-31,12,-15,-11,6,-13,2,-4,-3,3,-6,-23,-2,-1,-1,-2,-4
2203eee3f1d57f42c7bd65e401667ac475cd5cc902c81bf7c72e444dd4acf0bb,2020,R09,CA,HW,Perth Stadium,0,-42,-20,-15,-22,-24,14,2,-6,12,-4,3,-3,-12,-50,1,-6,-3,0,-5
fbf3ad79e8e8c0ef0a0b1ebb86bd68dfad1c6c06c790e6a4c12f216ccbc385ca,2020,R09,NM,AD,Carrara,1,97,64,47,33,2,-7,-1,12,15,6,-5,5,21,77,10,5,-6,2,10
ffa851951f0ff6d5366f7b6e09712dbb894f64db28b55427fc9a64a70c1f2bba,2020,R09,GC,GW,Carrara,0,-79,-40,-22,-39,6,-8,1,-6,-7,0,-7,7,-17,-68,-1,-1,-15,1,-6
1e3ba2c37abeceeb8f2510ede89a6932b2772c074629840cb6e7ff5696e0a18d,2020,R09,FR,CW,Perth Stadium,1,13,23,0,-10,-27,5,13,-9,15,1,8,-8,36,-15,-1,1,-7,1,2
f063243c90f6842c773039a89d696bea9a6dbc0588d47153606324393bd9e94c,2020,R10,PA,WB,Adelaide Oval,1,8,16,23,-8,16,14,7,-4,-1,11,3,-3,1,2,15,2,10,-1,4
0b29024de43a13444222769b58fb23dc258ac4b101a64031360c8671f891fac7,2020,R10,RI,BL,Carrara,1,-3,-28,-39,25,0,5,4,4,-9,22,-6,6,6,-16,5,4,-7,4,8
7a5f6716efa3db251fac3e69ec4cb176447749bf32046ae9f21d6d4f211137e2,2020,R10,GE,NM,Gabba,1,41,32,23,9,-3,-12,2,3,8,-4,-2,2,20,21,4,9,-9,-1,2
46c1f3c331d9673c632d594ce868b7d729f6405c289f9202bc69815f27e3b17d,2020,R10,AD,ME,Adelaide Oval,0,-39,-44,-28,5,-14,10,3,-12,-7,-11,8,-8,-20,-22,-4,-6,-2,2,-4
2b436be76a2c9a2c6dc490586e3a46e628242bc0ff1ac4326a185a8cebaabb4c,2020,R10,GC,SK,Carrara,0,1,-15,-28,16,-3,9,-5,4,13,3,1,-1,5,-15,-3,-2,-16,-3,-1
657a88b94e8dbe086e197a9e6d3989884fcbd4c0bd705246b869a578895c08b1,2020,R10,ES,GW,Carrara,0,1,8,14,-7,-17,-11,8,-8,0,12,-7,7,7,-12,0,1,-16,4,-1
4d4dfa1c461b2dd0cb29b9dd15e4078d67b46cc61f5bd28ed1105f6d853d33de,2020,R11,PA,RI,Adelaide Oval,1,80,30,3,50,-5,-1,-26,31,18,-7,11,-11,44,51,5,7,-1,-1,3
5f98a803790a5b42537f9eab69d4c5c706e268856fdd1dc1608957c0569ddc37,2020,R11,BL,WB,Gabba,1,-19,23,8,-42,21,3,-2,6,11,-7,-3,3,-7,-17,-2,0,-1,-3,1
30e1800435e5780753b08d2653bd0f79623e742f7e376d97d4f5abf7649c29a9,2020,R11,WC,CA,Perth Stadium,1,35,30,16,5,16,-21,15,-9,11,2,2,-2,4,31,-2,6,11,-2,5
c3eefc403247698057ee3d5dd6521a2f3c5ca2cd406e372b73c5c6cb5551a962,2020,R11,ME,NM,Adelaide Oval,1,-1,17,13,-18,-22,-7,-19,28,-4,0,-6,6,4,-3,4,8,0,-4,7
04dae632bb1ff4eaa1b7e1b573059aafc61ef0039b3fbd4c95721da3fba8a611,2020,R11,SK,GE,Gabba,0,-55,-46,-49,-9,5,-20,-12,3,0,4,-1,1,8,-52,-8,-7,1,2,-6
318bfd7cf5d7ccd895758acd8dc9679e1f4c0f996776df99131674c7a011ee57,2020,R11,FR,HW,Perth Stadium,1,96,43,20,53,6,13,-2,4,-2,-2,1,-1,15,82,0,6,-12,3,3
ce45f46cd009d2cfbefec38c6dc5e11a4c03a6957db57cd7cc5134bc5bf57522,2020,R11,AD,CW,Adelaide Oval,0,-47,-27,-5,-20,-1,-7,6,-12,-3,6,-8,8,5,-50,4,-6,-6,-1,-2
852718f22a8a6cf5c17028986e8bf5f46f0744b0697388da7bacfe9171aed581,2020,R12,NM,BL,Carrara,0,43,4,-5,39,-9,2,12,-12,5,3,6,-6,1,32,2,-4,-2,9,1
73295c4fde9fe194b129f876b8579b2323cd125fe8ded1712596dcab45060044,2020,R12,FR,CA,Perth Stadium,0,-12,-22,10,10,11,-2,-3,1,-13,-11,-2,2,-18,17,7,3,-9,1,0
aedddb45551bc1c8e641066ea5cf165c2b9ea55b76e33810a8627165519cfdd6,2020,R12,WB,AD,Carrara,1,121,68,28,53,-25,14,-19,29,25,1,1,-1,39,90,5,14,5,16,5
c1afec571238d0ec57ebfa8440185c0e25db57ef0889ee9a9fb5ef23cc922e45,2020,R12,SK,ES,Gabba,1,-9,19,17,-28,12,1,10,-5,-6,-5,0,0,17,-17,5,9,-1,4,1
422c934f0f6bf6193d265756363980c15abe90d1ecaa51170c97da9daa719033,2020,R12,RI,GC,Gabba,1,29,19,10,10,2,11,-19,25,-1,4,-3,3,12,14,2,13,-8,-1,2
e61ca19d98f1b044617aee95537ad29ed9911cb386b7d6b542974a7929b8a0af,2020,R13,GC,CA,Marrara Oval,0,-94,-45,-33,-49,3,4,24,-28,-7,-10,5,-5,-40,-69,-9,-8,7,-2,-2
ba48a8efdf256e397a56aa7cc220a690cab1520de830bf7a53eb48294593af6f,2020,R13,WB,ME,Carrara,1,43,6,-3,37,-29,3,7,-1,-2,-10,0,0,-2,40,-3,-3,1,3,4
197703d9af0d167ff3e413ffbd84f06328f3dfa4a0f489c5c9e51da02c1cf892,2020,R13,PA,HW,Adelaide Oval,1,61,22,15,39,-13,5,-4,5,9,-14,12,-12,16,55,0,-3,1,1,0
95733b7a59c206471db5fd675488dafe357f1b2f669f3255941472104fef849d,2020,R13,ES,RI,Marrara Oval,0,-8,-9,4,1,-4,0,42,-42,3,-6,-1,1,-34,10,-1,-1,10,-10,0
ff681b471e4b06ed1447b13aecd6d4e7c9f8043b04249dbf91d0f2dd16d8d157,2020,R13,FR,SW,Perth Stadium,1,22,-6,-8,28,-4,-7,14,-9,0,4,0,0,17,7,5,6,-3,4,4
b304cea6364b2afe26d4e586d85c3b56293d8a169755fac3eb3b98e33504080f,2020,R13,AD,GE,Adelaide Oval,0,-91,-50,-39,-41,4,-3,8,-14,-5,-13,8,-8,-10,-85,-4,-5,-15,-5,-5
e3c65f8ff3846e4dccec54956ede727b6c9b8b904de691a5d4106f9e14ac944b,2020,R13,WC,GW,Perth Stadium,1,-71,-9,-1,-62,10,-6,6,-5,-4,-6,3,-3,-18,-57,4,0,12,4,-1
93feb521113ce6be451a8c8ae132e14db107f40fac99eb9deb0cc8af6694231b,2020,R13,CW,NM,Gabba,1,27,2,-1,25,0,-6,3,0,-3,11,5,-5,5,19,-5,-7,14,12,4
7ec8d9a0266eec9f12e6a27d8fc96befc881b65bc2dd1252707eb82a38e82028,2020,R14,HW,ES,Adelaide Oval,0,-32,2,12,-34,15,-8,8,-12,-21,-10,2,-2,-9,-27,6,-5,2,-1,-3
896e0449aa392b316e63eeccf065c0e01ddd99ae6b1a6d18b71ac77698c95403,2020,R14,WB,GE,Carrara,0,-41,-37,-16,-4,-36,4,9,-9,-8,-5,-3,3,-18,-25,2,3,9,-4,0
6fdc25f82138ea8a77dda02a729714e86be6eddd5c40206d17f08dfd3acc521a,2020,R14,PA,SW,Adelaide Oval,1,7,-14,-24,21,-5,-14,-1,4,20,3,-4,4,24,-8,-3,1,-12,0,3
1c9588cc8ec20f26fe3e955c2fab2a8e006d1dee32bf88ea3de86ddda93b2496,2020,R14,FR,GW,Perth Stadium,0,-75,-54,-28,-21,8,2,3,-8,-5,-8,3,-3,-14,-66,-3,-7,-17,1,-7
3d033a03b2a1a543a3129279bfb8a940ac400da694893137bf7cf0a3dfc03401,2020,R14,CA,CW,Gabba,0,-29,-19,-5,-10,-16,5,-6,3,-9,6,-1,1,-10,-25,-5,-1,1,-3,-2
e0210c3dac6c673fb3d805871179796597274a9f7a2261b33ad298f3ce3c2eab,2020,R14,GC,NM,Carrara,1,32,22,9,10,2,2,0,8,16,-15,3,-3,18,30,-3,11,1,4,5
92fd876b2ac9ede2c52ab23bae56c5c625ecc56aa09fcbf10d572c0f18e7c7a0,2020,R15,WC,ES,Gabba,1,-44,17,27,-61,13,-12,12,-9,-5,6,4,-4,3,-33,12,1,4,-2,3
148da73a8f43a2480df474556d9492338034c9ec786d919e72138f45eaa62d3a,2020,R15,SW,ME,Cazaly's Stadium,1,-4,-5,-10,1,-18,6,16,-11,4,6,-5,5,-10,-3,-1,0,-2,6,3
b5a5156f467fdaad6fed4bfcbeeeb87574b4d4a97ce762919f383c655554207a,2020,R15,GW,CA,Carrara,1,24,9,-1,15,-2,9,13,-9,0,16,-13,13,-9,39,-3,0,13,0,3
588ff66d6e71fc2f3dae24b030de7baf24c76e71dc6d8389ef656cbe6dc998fb,2020,R15,BL,CW,Gabba,1,-43,10,7,-53,-10,0,12,-8,0,2,-6,6,-22,-22,-6,3,10,-3,-1
502ceab0fc7f2360d4ee69a3489c4c0e131fafee562cf406348d2ef64e0fcd75,2020,R16,SK,HW,Carrara,1,28,46,41,-18,12,2,1,1,1,-3,4,-4,-5,35,-2,5,6,0,3
cf31ce36b02495abf1e1089dc09dbc9690db2e23b714bc1de748a9718975593d,2020,R16,GE,ES,Gabba,1,70,53,47,17,-6,2,-3,15,9,-3,5,-5,13,59,4,2,4,3,9
e0c745e6136bdf7901433a67e47c8f19c5ac374d7fce0379e335aee1f3847904,2020,R16,WB,WC,Carrara,1,59,-18,-21,77,-9,14,-19,18,4,13,-6,6,20,45,2,-2,6,-3,-4
d47d5025ad23a540fedd39ef1845fca6fab8ffd06ac5c6ca6c65d2bc8caf0b2a,2020,R16,AD,GW,Adelaide Oval,1,27,-1,-20,28,25,-7,-22,23,10,-7,3,-3,30,1,2,5,2,0,-1
9f81af915c76a894b53b76d75e2056be468805eef23023a4cd199021929f3ded,2020,R16,CA,SW,Carrara,1,54,48,31,6,-4,-1,-17,16,1,5,6,-6,22,35,0,0,1,7,2
2e4bc52420075ec20b6c2b01d167ef29354c442fa048665a36525ca733252883,2020,R16,BL,GC,Gabba,1,26,45,36,-19,-15,13,0,7,8,-2,-9,9,-3,35,3,9,23,-1,7
0150ed9512499e3c6dc374336fccf6d8174e6c0fd93a3d51eaa48d713be202f2,2020,R17,GE,RI,Carrara,0,33,41,38,-8,-3,-6,-2,-2,16,-5,6,-6,14,24,4,-7,-1,-12,-1
f9452a20c534645c277a8c0f0022840ab1aefb70d2d7cfc55cb033962b855793,2020,R17,NM,FR,Carrara,0,-94,-75,-46,-19,2,-7,4,-16,-6,6,-5,5,-29,-72,-14,-7,-5,-6,-5
747d82c493fda0171765072f86bd9334959251e926da5d9d1ff3fc91d883fb57,2020,R17,CA,AD,Carrara,0,-51,-15,14,-36,-16,13,-5,0,2,5,4,-4,-7,-42,12,-2,16,4,1
a9721ac7437ed99c9efe75b3e200139e1114e54f4ea5f40bfbe0b7a796dbc141,2020,R17,SW,BL,Cazaly's Stadium,0,33,1,-2,32,-14,-5,-1,-4,3,3,3,-3,8,23,0,2,6,3,-2
2e0869d5245855ec4052880f0abc955a61549e40d4c8b7a76c9a20e7f9f7d871,2020,R18,ES,ME,Carrara,0,11,-29,-38,40,-11,18,-6,5,0,6,-3,3,1,11,3,-5,-14,6,-4
